"Item Number","Name","Path","File Class","File Type","Modified Date","Object Type","P-Size (bytes)"
"1003","PROGRAM.87","M18867-0001.001/NONAME [FAT12]/[root]/PROGRAM.87","Regular File","WordPerfect 4.2","1/31/1988 11:56:50 AM (1988-01-31 16:56:50 UTC)","File","12288"
"1004","HORI","M18867-0001.001/NONAME [FAT12]/[root]/HORI","Regular File","WordPerfect 4.2","11/21/1993 5:07:48 PM (1993-11-21 22:07:48 UTC)","File","1024"
"1005","SCAN","M18867-0001.001/NONAME [FAT12]/[root]/SCAN","Regular File","WordPerfect 5.1","4/28/1994 1:46:52 PM (1994-04-28 17:46:52 UTC)","File","80896"
"1006","SCAN.WP5","M18867-0001.001/NONAME [FAT12]/[root]/SCAN.WP5","Regular File","WordPerfect 5.1","3/24/1994 11:46:48 PM (1994-03-25 04:46:48 UTC)","File","55296"
"1007","AMLIT","M18867-0001.001/NONAME [FAT12]/[root]/AMLIT","Regular File","WordPerfect 5.1","6/7/1994 8:20:26 PM (1994-06-08 00:20:26 UTC)","File","87040"
"1008","BOGDAN","M18867-0001.001/NONAME [FAT12]/[root]/BOGDAN","Regular File","WordPerfect 5.1","6/7/1994 11:41:02 PM (1994-06-08 03:41:02 UTC)","File","2048"
"1009","STERN","M18867-0001.001/NONAME [FAT12]/[root]/STERN","Regular File","Unknown","12/20/1988 3:33:38 PM (1988-12-20 20:33:38 UTC)","File","1024"
"1010","CLEMENTS","M18867-0001.001/NONAME [FAT12]/[root]/CLEMENTS","Regular File","WordPerfect 4.2","11/25/1988 4:01:24 PM (1988-11-25 21:01:24 UTC)","File","1024"
"1011","WOLFE","M18867-0001.001/NONAME [FAT12]/[root]/WOLFE","Regular File","WordPerfect 4.2","6/21/1989 1:39:22 PM (1989-06-21 17:39:22 UTC)","File","2048"
"1012","SORKIN","M18867-0001.001/NONAME [FAT12]/[root]/SORKIN","Regular File","Unknown","10/27/1991 4:03:54 PM (1991-10-27 21:03:54 UTC)","File","2048"
"1013","NIR","M18867-0001.001/NONAME [FAT12]/[root]/NIR","Regular File","WordPerfect 4.2","6/27/1989 10:39:54 AM (1989-06-27 14:39:54 UTC)","File","2048"
"1014","HASKELL","M18867-0001.001/NONAME [FAT12]/[root]/HASKELL","Regular File","WordPerfect 4.2","2/26/1990 11:01:36 AM (1990-02-26 16:01:36 UTC)","File","2048"
"1015","WOLFE2","M18867-0001.001/NONAME [FAT12]/[root]/WOLFE2","Regular File","WordPerfect 4.2","11/19/1991 8:40:44 AM (1991-11-19 13:40:44 UTC)","File","1024"
"1016","HERRON","M18867-0001.001/NONAME [FAT12]/[root]/HERRON","Regular File","WordPerfect 4.2","9/18/1993 12:35:50 AM (1993-09-18 04:35:50 UTC)","File","2048"
"1017","WRESZIN","M18867-0001.001/NONAME [FAT12]/[root]/WRESZIN","Regular File","WordPerfect 4.2","12/11/1993 7:17:56 PM (1993-12-12 00:17:56 UTC)","File","2048"
"1018","ISLER","M18867-0001.001/NONAME [FAT12]/[root]/ISLER","Regular File","WordPerfect 4.2","11/21/1993 5:42:00 PM (1993-11-21 22:42:00 UTC)","File","1024"
"1019","ROTH","M18867-0001.001/NONAME [FAT12]/[root]/ROTH","Regular File","WordPerfect 5.1","11/19/1995 4:20:00 PM (1995-11-19 21:20:00 UTC)","File","3072"
"1020","TORGOV","M18867-0001.001/NONAME [FAT12]/[root]/TORGOV","Regular File","WordPerfect 5.1","1/10/1994 12:42:04 PM (1994-01-10 17:42:04 UTC)","File","2048"
"1021","SIMONE","M18867-0001.001/NONAME [FAT12]/[root]/SIMONE","Regular File","WordPerfect 5.1","7/2/1998 7:50:34 AM (1998-07-02 11:50:34 UTC)","File","2048"
"1022","TERES","M18867-0001.001/NONAME [FAT12]/[root]/TERES","Regular File","WordPerfect 5.1","12/3/1995 11:20:06 PM (1995-12-04 04:20:06 UTC)","File","2048"
"1023","AWOLFE","M18867-0001.001/NONAME [FAT12]/[root]/AWOLFE","Regular File","WordPerfect 5.1","6/6/1996 10:11:24 AM (1996-06-06 14:11:24 UTC)","File","3072"
"1024","ELMAN","M18867-0001.001/NONAME [FAT12]/[root]/ELMAN","Regular File","WordPerfect 4.2","1/1/1998 11:28:34 PM (1998-01-02 04:28:34 UTC)","File","2048"
"1025","WILSON","M18867-0001.001/NONAME [FAT12]/[root]/WILSON","Regular File","WordPerfect 4.2","4/10/1998 10:28:08 AM (1998-04-10 14:28:08 UTC)","File","2048"
"1026","GATESPUB.89","M18867-0001.001/NONAME [FAT12]/[root]/GATESPUB.89","Regular File","WordPerfect 5.1","10/10/2000 3:00:08 PM (2000-10-10 19:00:08 UTC)","File","4096"
"1027","PROMO.98","M18867-0001.001/NONAME [FAT12]/[root]/PROMO.98","Regular File","WordPerfect 5.1","1/8/1998 9:26:08 PM (1998-01-09 02:26:08 UTC)","File","4096"
"1028","POEMS.RD","M18867-0001.001/NONAME [FAT12]/[root]/POEMS.RD","Regular File","WordPerfect 5.1","10/10/2000 3:28:58 PM (2000-10-10 19:28:58 UTC)","File","3072"
"1029","IDEOLOGY","M18867-0001.001/NONAME [FAT12]/[root]/IDEOLOGY","Regular File","WordPerfect 5.1","10/10/2000 3:47:18 PM (2000-10-10 19:47:18 UTC)","File","2048"
"1030","HAMLET.RD","M18867-0001.001/NONAME [FAT12]/[root]/HAMLET.RD","Regular File","WordPerfect 4.2","2/6/1987 12:24:34 AM (1987-02-06 05:24:34 UTC)","File","5120"
"1031","PROGRAM.MLA","M18867-0001.001/NONAME [FAT12]/[root]/PROGRAM.MLA","Regular File","Unknown","5/27/1992 10:45:48 PM (1992-05-28 02:45:48 UTC)","File","7168"
"1032","INTROMLA.92","M18867-0001.001/NONAME [FAT12]/[root]/INTROMLA.92","Regular File","Unknown","12/29/1992 3:03:40 PM (1992-12-29 20:03:40 UTC)","File","13312"
"1033","CRITLIST.88","M18867-0001.001/NONAME [FAT12]/[root]/CRITLIST.88","Regular File","WordPerfect 4.2","9/18/1988 6:09:38 PM (1988-09-18 22:09:38 UTC)","File","2048"
"1034","KARDON","M18867-0001.001/NONAME [FAT12]/[root]/KARDON","Regular File","WordPerfect 4.2","1/8/1988 5:16:56 PM (1988-01-08 22:16:56 UTC)","File","2048"
"1035","CRITLIST.87","M18867-0001.001/NONAME [FAT12]/[root]/CRITLIST.87","Regular File","WordPerfect 4.2","9/7/1988 4:55:24 PM (1988-09-07 20:55:24 UTC)","File","3072"
"1036","WILLIAMS","M18867-0001.001/NONAME [FAT12]/[root]/WILLIAMS","Regular File","Unknown","8/29/1989 9:00:20 AM (1989-08-29 13:00:20 UTC)","File","4096"
"1037","RECOMM.96","M18867-0001.001/NONAME [FAT12]/[root]/RECOMM.96","Regular File","WordPerfect 4.2","1/13/1996 5:39:04 PM (1996-01-13 22:39:04 UTC)","File","2048"
"1038","INVITE","M18867-0001.001/NONAME [FAT12]/[root]/INVITE","Regular File","WordPerfect 5.1","3/10/1991 1:36:20 PM (1991-03-10 18:36:20 UTC)","File","3072"
"1039","LETTER","M18867-0001.001/NONAME [FAT12]/[root]/LETTER","Regular File","WordPerfect 4.2","10/16/1987 11:01:52 AM (1987-10-16 15:01:52 UTC)","File","16384"
"1040","LETTER2","M18867-0001.001/NONAME [FAT12]/[root]/LETTER2","Regular File","WordPerfect 4.2","12/6/1987 1:44:42 PM (1987-12-06 18:44:42 UTC)","File","16384"
